generic_name_clean,common_side_effects,less_common_side_effects,rare_side_effects,postmarketing_side_effects,unknown_frequency_side_effects
mirtazapine,"abdominal distension, abdominal pain, abnormal dreams, accommodation disorder, acne, acute abdomen, acute coronary syndrome, affect lability, ageusia, aggression, agitation, agranulocytosis","angle closure glaucoma, aplastic anaemia, arrhythmia supraventricular, breast engorgement, cerebral ischaemia, coma, epilepsy, grand mal convulsion, hepatic cirrhosis, hyperacusis","asphyxia, blood acid phosphatase increased, deafness transitory, drug dependence, drug tolerance, electric shock, osteoporotic fracture, serotonin syndrome","breast feeding, dependence, orthostatic hypertension, self-injurious ideation",
misoprostol,"abdominal pain, acute coronary syndrome, alopecia, anaemia, anaphylactic shock, anorectal disorder, anxiety, arrhythmia, arthralgia, asthenia, back pain, blood alkaline phosphatase increased","loss of libido, red blood cell sedimentation rate increased","arterial thrombosis, congenital anomaly, developmental delay, inflammatory bowel disease, uterine spasm","anaphylactoid syndrome of pregnancy, cardiac enzymes increased, foetal death, pregnancy, premature baby, premature delivery, uterine rupture","abortion incomplete, retained placenta or membranes, uterine contractions during pregnancy"
mitomycin,"acute respiratory distress syndrome, alopecia, anaemia, asthenia, body temperature increased, burning sensation, cardiac failure congestive, cardiotoxicity, confusional state, cough, decreased appetite, dermatitis",haemolytic uraemic syndrome,"microangiopathic haemolytic anaemia, necrosis","injection site cellulitis, metastatic neoplasm","aspiration, bladder fibrosis, bone marrow toxicity, fraction of inspired oxygen"
mitotane,"aggression, albuminuria, amnesia, anaemia, angiopathy, asthenia, ataxia, balance disorder, blood cholesterol increased, blood triglycerides increased, body temperature increased, breast disorder","adrenal insufficiency, bleeding time prolonged, maculopathy, retinal disorder","cystitis haemorrhagic, hepatitis cholestatic, hyperpyrexia, lenticular opacities, secondary adrenocortical insufficiency","autoimmune hepatitis, brain injury, hypouricaemia, orthostatic hypertension, retinal toxicity","blood uric acid decreased, gastrointestinal toxicity, mineralocorticoid deficiency"
mitoxantrone,"abdominal pain, abdominal pain upper, acute coronary syndrome, affective disorder, agranulocytosis, alanine aminotransferase increased, alopecia, amenorrhoea, anaemia, anaphylactic shock, anxiety, arrhythmia","anaphylactoid reaction, enteritis, ischaemia, myelodysplastic syndrome, nail pigmentation, onycholysis, sinus bradycardia, sudden death, tonsillitis","blood creatinine abnormal, blood urea abnormal, breast cancer stage iv, foot and mouth disease, lymphocyte count abnormal, necrosis","acute promyelocytic leukaemia, infertility, urine output","endometritis, pathogen resistance, platelet count abnormal, ureteric obstruction"
modafinil,"abdominal pain, abdominal pain upper, affect lability, aggression, agitation, agranulocytosis, albuminuria, amblyopia, amnesia, anaemia, anaphylactic shock, angioedema","anaphylactoid reaction, condition aggravated, drug eruption, ear disorder, hyperacusis, nuchal rigidity, pyuria, tardive dyskinesia, urine odour abnormal",obesity,"cataplexy, psychiatric symptom",
mometasone,"abdominal pain, abscess, acne, anaphylactic shock, angioedema, arthralgia, asthenia, asthma, back pain, bacterial infection, body temperature increased, bronchitis","arthropod bite, colitis ulcerative, condition aggravated, endometriosis, large intestine polyp, leukoderma, proctocolitis, pustular psoriasis, rhinitis allergic, skin depigmentation","cataract subcapsular, miliaria, nasal septum perforation, secondary adrenocortical insufficiency, type i hypersensitivity","hyperadrenocorticism, nasal ulcer, telangiectasia, type iv hypersensitivity reaction",
montelukast,"abdominal pain, aggression, agitation, alanine aminotransferase increased, anaphylactic shock, angioedema, anxiety, arthralgia, aspartate aminotransferase increased, asthenia, asthma, body temperature increased","completed suicide, ear infection, haemorrhagic disorder, liver disorder, myopia, pyuria, tonsillitis, tracheobronchitis, traumatic liver injury","foetor hepaticus, hepatitis cholestatic, leukocytoclastic vasculitis, pulmonary eosinophilia, suicidal behaviour, varicella","allergic granulomatous angiitis, hepatic infiltration eosinophilic, vasculitic rash",abdominal injury
morphine,"abdominal distension, abdominal pain, abdominal pain upper, abnormal dreams, affect lability, agitation, amblyopia, amenorrhoea, amnesia, anaemia, anaphylactic shock, angiopathy","alcohol abuse, anaphylactoid reaction, biliary colic, coma, drug abuse, drug interaction, haemolytic anaemia, head injury, heart rate irregular, hyperpathia","accidental overdose, alcoholism, cough decreased, drug dependence, drug tolerance, gastric atony, hypogonadism, miosis","breast feeding, carbon dioxide increased, dependence, hypercapnia, non-cardiogenic pulmonary oedema, spontaneous penile erection","addison's disease, brain neoplasm, breakthrough pain, cardiovascular insufficiency, cheyne-stokes respiration, genital swelling, haemorrhagic urticaria, hypovolaemic shock"
moxifloxacin,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, abnormal dreams, activated partial thromboplastin time prolonged, acute coronary syndrome, affect lability, ageusia, agitation, agranulocytosis, alanine aminotransferase increased","abnormal sensation in eye, adverse reaction, allergic oedema, alveolitis allergic, anaphylactoid reaction, arrhythmia supraventricular, atrial flutter, blindness, cerebral infarction, clostridium difficile colitis","acute yellow liver atrophy, balanitis, enzyme abnormality, gastrointestinal candidiasis, hepatitis cholestatic, hepatitis fulminant, hypomenorrhoea, immunoglobulins increased","anosmia, infusion site extravasation, prothrombin time shortened","blood thromboplastin decreased, deafness permanent, fluid intake reduced, international normalised ratio decreased, oral infection, pco2, rhinitis atrophic"
nabilone,"abdominal pain, abnormal dreams, affect lability, agitation, akathisia, amblyopia, anaemia, anxiety, apathy, aphthous stomatitis, arrhythmia, arthralgia","coma, dissociation, drug interaction, eye swelling, eyelid disorder, illusion, panic disorder, phobia, tongue disorder, tongue oedema",,psychiatric symptom,anhidrosis
nabumetone,"abdominal pain, acne, acute coronary syndrome, agitation, agranulocytosis, albuminuria, alopecia, anaemia, anaphylactic shock, angina pectoris, angioedema, anxiety","alveolitis allergic, anaphylactoid reaction, aplastic anaemia, duodenal ulcer, duodenitis, nephrotic syndrome, occult blood positive, tubulointerstitial nephritis","congenital anomaly, developmental delay, eosinophilic pneumonia, pseudoporphyria",nephritic syndrome,
nafcillin,"abdominal discomfort, abdominal pain, agranulocytosis, anaphylactic shock, angioedema, arthralgia, aspartate aminotransferase increased, body temperature increased, bronchospasm, dermatitis, diarrhoea, discomfort","gastrointestinal tract irritation, laryngeal oedema, laryngospasm, nephropathy, serum sickness, tongue discolouration, tubulointerstitial nephritis",necrosis,,
naloxone,"abdominal pain, agitation, angiopathy, asthenia, body temperature increased, cardiac arrest, cardiac disorder, chills, convulsion, depression, diarrhoea, dyspnoea","coma, grand mal convulsion","cardiac fibrillation, drug dependence",,
naproxen,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, abscess, acne, acute coronary syndrome, affect lability, agranulocytosis, albuminuria, alkalosis, alopecia","alcohol abuse, anaphylactoid reaction, aortic valve stenosis, aplastic anaemia, bleeding time prolonged, blood disorder, breast neoplasm, cognitive disorder, colitis ulcerative, coma","inflammatory bowel disease, meningitis aseptic, necrosis, nephrosclerosis, oesophageal achalasia, porphyria non-acute, porphyrin metabolism disorder, pseudoporphyria","breast feeding, epidermolysis bullosa, infertility, infertility female, neoplasm skin, nephritic syndrome","angiodermatitis, chronic sinusitis, urticaria chronic"
naratriptan,"abdominal discomfort, acute coronary syndrome, aggression, agitation, alopecia, altered state of consciousness, anaemia, anaphylactic shock, angina pectoris, angiopathy, anxiety, aphasia","anaphylactoid reaction, atrial flutter, blood bilirubin abnormal, blood disorder, breast discharge, cerebral infarction, cognitive disorder, dissociation, electrocardiogram pr prolongation, ischaemia","arteriospasm coronary, haemorrhage urinary tract, ketonuria, oral pruritus, parathyroid tumour, serotonin syndrome, sialoadenitis, vasospasm",prinzmetal angina,medication overuse headache
natamycin,"chest pain, corneal opacity, dyspnoea, eye irritation, eye pain, hyperaemia, hypersensitivity, lacrimation increased, ocular discomfort, paraesthesia, sensation of foreign body",eye oedema,,,
nateglinide,"abdominal pain, arthropathy, asthenia, back pain, bronchitis, cough, dermatitis, diarrhoea, dizziness, dyspepsia, erythema multiforme, fatigue",,hepatitis cholestatic,,
nelarabine,"abdominal distension, abdominal pain, altered state of consciousness, amnesia, anaemia, angiopathy, aphasia, arthralgia, aspartate aminotransferase increased, asthenia, ataxia, back pain","blood albumin decreased, blood calcium decreased, blood disorder, blood glucose decreased, coma, cyst, grand mal convulsion, leukoencephalopathy, paralysis, peroneal nerve palsy","chronic lymphocytic leukaemia, guillain-barre syndrome, hydrocephalus, motor dysfunction, respiratory arrest","demyelination, progressive multifocal leukoencephalopathy","metabolic encephalopathy, pneumonia fungal"
neostigmine,"abdominal pain, abnormal behaviour, agitation, anaphylactic shock, arrhythmia, arthralgia, asthenia, atrioventricular block, bradycardia, bronchospasm, cardiac arrest, cardiovascular disorder","coma, paralysis","miosis, nodal rhythm, respiratory arrest",procedural nausea,
nepafenac,"angiopathy, arthritis, blepharitis, blood pressure increased, cataract, conjunctival hyperaemia, conjunctival oedema, conjunctivitis allergic, corneal deposits, corneal opacity, dermatitis atopic, diabetes mellitus","abnormal labour, bleeding time prolonged, corneal epithelium defect, corneal oedema, eye swelling, eyelid disorder, eyelid margin crusting, intraocular pressure increased, rheumatoid arthritis, ulcerative keratitis","cutis laxa, vitreous detachment","corneal thinning, pregnancy, teratogenicity","choroidal effusion, corneal scar"
nevirapine,"abdominal pain, agranulocytosis, alanine aminotransferase increased, anaemia, anaphylactic shock, angioedema, arthralgia, aspartate aminotransferase increased, asthenia, blister, blood phosphorus decreased, blood pressure increased","drug eruption, drug interaction, hepatitis acute, hepatitis toxic, lipohypertrophy, liver disorder, oral disorder, rhabdomyolysis, surgery, traumatic liver injury","congenital anomaly, developmental delay, drug reaction with eosinophilia and systemic symptoms, foetor hepaticus, hepatic necrosis, hepatitis cholestatic, hepatitis fulminant, necrosis","autoimmune disorder, basedow's disease, insulin resistance","chronic hepatitis b, hypertransaminasaemia, vertical infection transmission"
nicardipine,"abdominal pain, abnormal dreams, acute coronary syndrome, agitation, angina pectoris, anxiety, arthralgia, asthenia, atrial fibrillation, atrioventricular block, body temperature increased, chest pain","cerebral ischaemia, ear disorder, electrocardiogram st segment depression, electrocardiogram t wave inversion, oxygen saturation decreased, pericarditis, peripheral vascular disorder, sinus arrhythmia",,pericardial haemorrhage,
nifedipine,"abdominal discomfort, abdominal distension, abdominal pain, affect lability, agitation, agranulocytosis, alanine aminotransferase increased, alopecia, altered state of consciousness, amblyopia, amnesia, anaemia","allergic oedema, anaphylactoid reaction, breast engorgement, cardiogenic shock, coma, gastrointestinal tract irritation, haemolytic anaemia, laboratory test abnormal, laryngeal oedema, oropharyngeal swelling","acute generalised exanthematous pustulosis, acute pulmonary oedema, blindness transient, gastrointestinal obstruction, intestinal ulcer, urogenital disorder","allergic hepatitis, bezoar, erythromelalgia, gastrooesophageal sphincter insufficiency, gingival disorder, malignant hypertension, palpable purpura, urine output","blindness unilateral, rebound effect"
